id:ID(KG),:LABEL,name,description,xref,provided_by,source
UMLS:C2874116,Disease,Type 2 Diabetes Mellitus with Other Skin Ulcer,Evidence of type 2 diabetes mellitus with other skin ulcer.,,NCBI:MedGen,NCBI MedGen
UMLS:C5786258,Disease,"Drug or Chemical Induced Diabetes Mellitus with Moderate Non-Proliferative Diabetic Retinopathy with Macular Edema, Left Eye",Evidence of drug or chemical induced diabetes mellitus with moderate non-proliferative diabetic retinopathy with macular edema in the left eye.,,NCBI:MedGen,NCBI MedGen
MONDO:0012921,Disease,Type 1 diabetes mellitus 22,"Uncontrolled type 1 diabetes can lead to a life-threatening complication called diabetic ketoacidosis. Without insulin, cells cannot take in glucose. A lack of glucose in cells prompts the liver to tr",UMLS:C2675864,NCBI:MedGen,NCBI MedGen
UMLS:C5786242,Disease,"Diabetes Mellitus due to Underlying Condition with Severe Non-Proliferative Diabetic Retinopathy without Macular Edema, Bilateral",Evidence of diabetes mellitus due to underlying condition with severe non-proliferative diabetic retinopathy without macular edema that is bilateral.,,NCBI:MedGen,NCBI MedGen
MONDO:0700371,Disease,Severe neonatal lactic acidosis due to NFS1-ISD11 complex deficiency,"Severe neonatal lactic acidosis due to NFS1-ISD11 complex deficiency is a rare, hereditary, mitochondrial oxidative phosphorylation disorder characterized by severe neonatal lactic acidosis and defici",UMLS:C4750855,NCBI:MedGen,NCBI MedGen
MONDO:0030007,Disease,Combined oxidative phosphorylation deficiency 41,,UMLS:C5394236,NCBI:MedGen,NCBI MedGen
UMLS:C3875009,Disease,Insulin reactive hypoglycemia due to type 2 diabetes mellitus,,,NCBI:MedGen,NCBI MedGen
MONDO:0017699,Disease,"Glycogen storage disease due to glycogen branching enzyme deficiency, childhood combined hepatic and myopathic form",,UMLS:C5679969,NCBI:MedGen,NCBI MedGen
UMLS:C4268036,Disease,"Type 1 Diabetes Mellitus with Proliferative Diabetic Retinopathy with Macular Edema, Left Eye",Evidence of type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema in the left eye.,,NCBI:MedGen,NCBI MedGen
MONDO:0011717,Disease,Hyperinsulinism-hyperammonemia syndrome,"Congenital hyperinsulinism is a condition that causes individuals to have abnormally high levels of insulin. Insulin is a hormone that helps control levels of blood glucose, also called blood sugar. P",UMLS:C1847555,NCBI:MedGen,NCBI MedGen
MONDO:0012407,Disease,Pyridoxal phosphate-responsive seizures,"Untreated pyridox(am)ine 5'-phosphate oxidase (PNPO) deficiency, characterized by a range of seizure types, is ""classic"" (i.e., seizure onset in the neonatal period) in about 90% of affected individua",UMLS:C1864723,NCBI:MedGen,NCBI MedGen
MONDO:0030543,Disease,Combined oxidative phosphorylation deficiency 54,Combined oxidative phosphorylation deficiency-54 (COXPD54) is an autosomal recessive disorder with pleiotropic multisystem presentations resulting from a disruption in mitochondrial transcription and ,UMLS:C5676912,NCBI:MedGen,NCBI MedGen
UMLS:C4268083,Disease,"Type 2 Diabetes Mellitus with Moderate Nonproliferative Diabetic Retinopathy without Macular Edema, Unspecified Eye",Evidence of type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema in an unspecified eye.,,NCBI:MedGen,NCBI MedGen
UMLS:C5923888,Disease,Hypertension in chronic kidney disease stage 3A due to type 1 diabetes mellitus,,,NCBI:MedGen,NCBI MedGen
UMLS:C4267979,Disease,"Drug or Chemical Induced Diabetes Mellitus with Proliferative Diabetic Retinopathy with Macular Edema, Left Eye",Evidence of drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema in the left eye.,,NCBI:MedGen,NCBI MedGen
UMLS:C4267921,Disease,"Diabetes Mellitus due to Underlying Condition with Proliferative Diabetic Retinopathy with Macular Edema, Right Eye",Evidence of diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema in the right eye.,,NCBI:MedGen,NCBI MedGen
UMLS:C5239134,Disease,Malglycemia,"A finding indicative of dysregulated glucose metabolism. The glycemic abnormalities may include hyperglycemia, hypoglycemia or glycemic variability.",,NCBI:MedGen,NCBI MedGen
UMLS:C5786276,Disease,Drug or Chemical Induced Diabetes Mellitus with Neurological Complication with Diabetic Autonomic Polyneuropathy,Evidence of drug or chemical induced diabetes mellitus with neurological complication with diabetic autonomic polyneuropathy.,,NCBI:MedGen,NCBI MedGen
MONDO:0010979,Disease,Timothy syndrome,"The clinical manifestations of CACNA1C-related disorders include a spectrum of nonsyndromic and syndromic phenotypes, which generally correlate with the impact of the pathogenic variant on calcium cur",UMLS:C1832916,NCBI:MedGen,NCBI MedGen
UMLS:C4686269,Disease,"Grade 3 Hyperglycemia, CTCAE",Insulin therapy initiated; hospitalization indicated,,NCBI:MedGen,NCBI MedGen
UMLS:C0751173,Disease,"Glycogen storage disease type II, infantile",The non-classic form of infantile-onset Pompe disease usually appears by age 1. It is characterized by delayed motor skills (such as rolling over and sitting) and progressive muscle weakness. The hear,,NCBI:MedGen,NCBI MedGen
MONDO:0011783,Disease,ALG12-congenital disorder of glycosylation,"Congenital disorders of glycosylation (CDG), previously called carbohydrate-deficient glycoprotein syndromes (CDGSs), are a group of hereditary multisystem disorders first recognized by Jaeken et al. ",UMLS:C2931001,NCBI:MedGen,NCBI MedGen
UMLS:C0520602,Disease,Maternal diabetes mellitus with hypoglycemia affecting fetus OR newborn,,,NCBI:MedGen,NCBI MedGen
MONDO:0100180,Disease,"Diabetes mellitus, ketosis-prone","In addition to classic type 1 (see 222100) and type 2 (see 125853) diabetes mellitus, atypical presentations are seen, particularly in populations of African ancestry. Ketosis-prone diabetes, the most",UMLS:C3837958,NCBI:MedGen,NCBI MedGen
UMLS:C2873959,Disease,Drug or Chemical Induced Diabetes Mellitus with Diabetic Nephropathy,Evidence of drug or chemical induced diabetes mellitus with diabetic nephropathy.,,NCBI:MedGen,NCBI MedGen
UMLS:C3806204,Disease,Hypoketotic hypoglycemia under fasting conditions,,,NCBI:MedGen,NCBI MedGen
UMLS:C5786243,Disease,"Diabetes Mellitus due to Underlying Condition with Severe Non-Proliferative Diabetic Retinopathy without Macular Edema, Unspecified Eye",Evidence of diabetes mellitus due to underlying condition with severe non-proliferative diabetic retinopathy without macular edema in an unspecified eye.,,NCBI:MedGen,NCBI MedGen
UMLS:C2903670,Disease,"Pre-Existing Type 2 Diabetes Mellitus, in the Puerperium",Evidence of pre-existing type 2 diabetes mellitus in the puerperium.,,NCBI:MedGen,NCBI MedGen
MONDO:0020531,Disease,Long chain acyl-CoA dehydrogenase deficiency,A genetic disorder characterized by deficiency of the enzyme long-chain acyl-coenzyme A dehydrogenase that metabolizes long-chain fatty acids. Signs and symptoms appear in infancy or childhood and may,UMLS:C0220711,NCBI:MedGen,NCBI MedGen
UMLS:C4330338,Disease,Hyperinsulinism in the Infant of a Diabetic Mother,Transient hypoglycemia that occurs in the infant of a diabetic mother due to increased postnatal insulin release as a result of in utero exposure to maternal hyperglycemia.,,NCBI:MedGen,NCBI MedGen
MONDO:0030088,Disease,"Diabetes mellitus, permanent neonatal 3",Permanent neonatal diabetes mellitus (PNDM) is characterized by the onset of hyperglycemia within the first six months of life (mean age: 7 weeks; range: birth to age 26 weeks). The diabetes mellitus ,UMLS:C5394303,NCBI:MedGen,NCBI MedGen
MONDO:0005147,Disease,Diabetes mellitus type 1,"Type 1 diabetes mellitus (T1D), also designated insulin-dependent diabetes mellitus (IDDM), is a disorder of glucose homeostasis characterized by susceptibility to ketoacidosis in the absence of insul",UMLS:C0011854,NCBI:MedGen,NCBI MedGen
MONDO:0010196,Disease,Werner syndrome,Werner syndrome is characterized by the premature appearance of features associated with normal aging and cancer predisposition. Individuals with Werner syndrome develop normally until the end of the ,UMLS:C0043119,NCBI:MedGen,NCBI MedGen
UMLS:C5880751,Disease,History of nocturnal hypoglycemia due to diabetes mellitus,,,NCBI:MedGen,NCBI MedGen
UMLS:C0342326,Disease,Hypoglycemia due to neoplasm,,,NCBI:MedGen,NCBI MedGen
MONDO:0016602,Disease,Citrin deficiency,"Citrin deficiency can manifest in newborns or infants as neonatal intrahepatic cholestasis caused by citrin deficiency (NICCD), in older children as failure to thrive and dyslipidemia caused by citrin",UMLS:C1997910,NCBI:MedGen,NCBI MedGen
MONDO:0009868,Disease,Glycogen storage disease IXb,"Phosphorylase kinase (PhK) deficiency causing glycogen storage disease type IX (GSD IX) results from deficiency of the enzyme phosphorylase b kinase, which has a major regulatory role in the breakdown",UMLS:C0543514,NCBI:MedGen,NCBI MedGen
MONDO:0017738,Disease,Lysosomal glycogen storage disease,,UMLS:C5681077,NCBI:MedGen,NCBI MedGen
UMLS:C5923909,Disease,Hypertension in chronic kidney disease stage 3B due to type 2 diabetes mellitus,,,NCBI:MedGen,NCBI MedGen
UMLS:C2903680,Disease,"Gestational Diabetes Mellitus in Pregnancy, Unspecified Control",Evidence of gestational diabetes mellitus in pregnancy with unspecified control.,,NCBI:MedGen,NCBI MedGen
UMLS:C4268051,Disease,"Type 1 Diabetes Mellitus with Proliferative Diabetic Retinopathy with Combined Traction Retinal Detachment and Rhegmatogenous Retinal Detachment, Left Eye",Evidence of type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment in the left eye.,,NCBI:MedGen,NCBI MedGen
UMLS:C4686776,Disease,"Grade 4 Hypoglycemia, CTCAE",<30 mg/dL; <1.7 mmol/L; life-threatening consequences; seizures,,NCBI:MedGen,NCBI MedGen
UMLS:C4268065,Disease,"Type 1 Diabetes Mellitus with Diabetic Macular Edema, Resolved following Treatment, Left Eye",Evidence of type 1 diabetes mellitus with diabetic macular edema which is resolved following treatment in the left eye.,,NCBI:MedGen,NCBI MedGen
UMLS:C4268138,Disease,"Other Specified Diabetes Mellitus with Moderate Nonproliferative Diabetic Retinopathy without Macular Edema, Left Eye",Evidence of other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema in the left eye not specified elsewhere.,,NCBI:MedGen,NCBI MedGen
MONDO:0009248,Disease,Fructose and galactose intolerance,,UMLS:C1856686,NCBI:MedGen,NCBI MedGen
UMLS:C1855520,Disease,Postprandial hyperglycemia,An increased concentration of glucose in the blood following a meal.,,NCBI:MedGen,NCBI MedGen
UMLS:C4267953,Disease,"Diabetes Mellitus due to Underlying Condition with Diabetic Macular Edema, Resolved following Treatment, Unspecified Eye","Evidence of diabetes mellitus due to underlying condition with diabetic macular edema, which is resolved following treatment in an unspecified eye.",,NCBI:MedGen,NCBI MedGen
UMLS:C4268040,Disease,"Type 1 Diabetes Mellitus with Proliferative Diabetic Retinopathy with Traction Retinal Detachment Involving the Macula, Right Eye",Evidence of type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula in the right eye.,,NCBI:MedGen,NCBI MedGen
UMLS:C4268026,Disease,"Type 1 Diabetes Mellitus with Moderate Nonproliferative Diabetic Retinopathy without Macular Edema, Unspecified Eye",Evidence of type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema in an unspecified eye.,,NCBI:MedGen,NCBI MedGen
UMLS:C5681157,Disease,Silver-Russell syndrome due to a point mutation,"Other features can include the delayed development of motor skills, speech and language problems, and learning disabilities.\n\nSilver-Russell syndrome is a rare disorder that is characterized by slow",,NCBI:MedGen,NCBI MedGen
MONDO:0016512,Disease,Kabuki syndrome,Kabuki syndrome (KS) is characterized by typical facial features (long palpebral fissures with eversion of the lateral third of the lower eyelid; arched and broad eyebrows; short columella with depres,UMLS:C0796004,NCBI:MedGen,NCBI MedGen
MONDO:0013518,Disease,"Pituitary hormone deficiency, combined, 6","Any combined pituitary hormone deficiencies, genetic form in which the cause of the disease is a mutation in the OTX2 gene.",UMLS:C3151440,NCBI:MedGen,NCBI MedGen
MONDO:0011468,Disease,"Hereditary motor and sensory neuropathy, Okinawa type","Okinawa-type hereditary motor and sensory neuropathy (HMSNO) is an autosomal dominant neurodegenerative disorder characterized by young adult onset of proximal or distal muscle weakness and atrophy, m",UMLS:C1858338,NCBI:MedGen,NCBI MedGen
UMLS:C2873946,Disease,Diabetes Mellitus due to Underlying Condition with Unspecified Complication,Evidence of diabetes mellitus due to underlying condition with unspecified complication.,,NCBI:MedGen,NCBI MedGen
UMLS:C4269005,Disease,"Gestational Diabetes Mellitus in Puerperium, Controlled by Oral Hypoglycemic Drugs",Evidence of gestational diabetes mellitus in puerperium that is controlled by oral hypoglycemic drugs.,,NCBI:MedGen,NCBI MedGen
UMLS:C4268135,Disease,"Other Specified Diabetes Mellitus with Moderate Nonproliferative Diabetic Retinopathy with Macular Edema, Bilateral",Evidence of other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema that is bilateral not specified elsewhere.,,NCBI:MedGen,NCBI MedGen
MONDO:0010901,Disease,HEC syndrome,"A rare syndromic cardiac disease characterized by communicating hydrocephalus, endocardial fibroelastosis, and congenital cataracts. A history of upper respiratory infection in the mother during the f",UMLS:C1833607,NCBI:MedGen,NCBI MedGen
UMLS:C4268027,Disease,"Type 1 Diabetes Mellitus with Severe Nonproliferative Diabetic Retinopathy with Macular Edema, Right Eye",Evidence of type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema in the right eye.,,NCBI:MedGen,NCBI MedGen
UMLS:C2874013,Disease,Drug or Chemical Induced Diabetes Mellitus with Other Specified Complication,Evidence of drug or chemical induced diabetes mellitus with other specified complication.,,NCBI:MedGen,NCBI MedGen
UMLS:C4023071,Disease,Hypergalactosemia,Elevated concentration of galactose in the blood.,,NCBI:MedGen,NCBI MedGen
UMLS:C2874143,Disease,Other Specified Diabetes Mellitus with Moderate Nonproliferative Diabetic Retinopathy without Macular Edema,Evidence of other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema not specified elsewhere.,,NCBI:MedGen,NCBI MedGen
MONDO:0011068,Disease,Type 1 diabetes mellitus 12,"Uncontrolled type 1 diabetes can lead to a life-threatening complication called diabetic ketoacidosis. Without insulin, cells cannot take in glucose. A lack of glucose in cells prompts the liver to tr",UMLS:C1832392,NCBI:MedGen,NCBI MedGen
UMLS:C4302207,Disease,Neonatal hyperglycemia due to insulin deficiency,,,NCBI:MedGen,NCBI MedGen
MONDO:0007762,Disease,Familial type 5 hyperlipoproteinemia,Hyperlipoproteinemia type V (type V of Fredrickson) is characterized by increased amounts of chylomicrons and very low density lipoprotein (VLDL) and decreased LDL and high density lipoprotein (HDL) i,UMLS:C0020481,NCBI:MedGen,NCBI MedGen
MONDO:0859362,Disease,"Hyperinsulinemic hypoglycemia, familial, 8","Familial hyperinsulinemic hypoglycemia-8 (HHF8) is an autosomal recessive disorder characterized by protein-related hypoglycemia and persistent mild hyperammonemia (summary by Shahroor et al., 2022). ",UMLS:C5774299,NCBI:MedGen,NCBI MedGen
UMLS:C0268145,Disease,"Glycogen storage disease, hepatic form",,,NCBI:MedGen,NCBI MedGen
UMLS:C0347890,Disease,Post gastrointestinal tract surgery hypoglycemia,,,NCBI:MedGen,NCBI MedGen
UMLS:C3502106,Disease,"Hypoglycemia, Neonatal, Simulating Foetopathia Diabetica",,,NCBI:MedGen,NCBI MedGen
MONDO:0014047,Disease,Cowden syndrome 5,PIK3CA-related overgrowth spectrum (PROS) encompasses a range of clinical findings in which the core features are congenital or early-childhood onset of segmental/focal overgrowth with or without cell,UMLS:C3554518,NCBI:MedGen,NCBI MedGen
UMLS:C4268129,Disease,"Other Specified Diabetes Mellitus with Mild Nonproliferative Diabetic Retinopathy without Macular Edema, Right Eye",Evidence of other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema in the right eye not specified elsewhere.,,NCBI:MedGen,NCBI MedGen
UMLS:C5786229,Disease,Diabetes Mellitus due to Underlying Condition with Moderate Non-Proliferative Diabetic Retinopathy without Macular Edema,Evidence of diabetes mellitus due to underlying condition with moderate non-proliferative diabetic retinopathy without macular edema.,,NCBI:MedGen,NCBI MedGen
UMLS:C0271709,Disease,Idiopathic postprandial hypoglycemia,,,NCBI:MedGen,NCBI MedGen
UMLS:C4267951,Disease,"Diabetes Mellitus due to Underlying Condition with Diabetic Macular Edema, Resolved following Treatment, Left Eye",Evidence of diabetes mellitus due to underlying condition with diabetic macular edema which is resolved following treatment in the left eye.,,NCBI:MedGen,NCBI MedGen
UMLS:C5786249,Disease,"Drug or Chemical Induced Diabetes Mellitus with Mild Non-Proliferative Diabetic Retinopathy with Macular Edema, Bilateral",Evidence of drug or chemical induced diabetes mellitus with mild non-proliferative diabetic retinopathy with macular edema that is bilateral.,,NCBI:MedGen,NCBI MedGen
UMLS:C5937058,Disease,Inappropriately low concentration of acetoacetate,Lower than appropriate concentration of acetoacetate in states such as hypoglycemia in which the normal response would be to elevate acetoacetate.,,NCBI:MedGen,NCBI MedGen
UMLS:C5786216,Disease,"Diabetes Mellitus due to Underlying Condition with Mild Non-Proliferative Diabetic Retinopathy with Macular Edema, Left Eye",Evidence of diabetes mellitus due to underlying condition with mild non-proliferative diabetic retinopathy with macular edema in the left eye.,,NCBI:MedGen,NCBI MedGen
UMLS:C4268022,Disease,"Type 1 Diabetes Mellitus with Moderate Nonproliferative Diabetic Retinopathy with Macular Edema, Unspecified Eye",Evidence of type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema in an unspecified eye.,,NCBI:MedGen,NCBI MedGen
MONDO:0011601,Disease,Neonatal intrahepatic cholestasis due to citrin deficiency,"Citrin deficiency can manifest in newborns or infants as neonatal intrahepatic cholestasis caused by citrin deficiency (NICCD), in older children as failure to thrive and dyslipidemia caused by citrin",UMLS:C1853942,NCBI:MedGen,NCBI MedGen
MONDO:0009281,Disease,"Glutaric aciduria, type 1","The phenotypic spectrum of untreated glutaric acidemia type 1 (GA-1) ranges from the more common form (infantile-onset disease) to the less common form (later-onset disease – i.e., after age 6 years).",UMLS:C0268595,NCBI:MedGen,NCBI MedGen
MONDO:0017700,Disease,"Glycogen storage disease due to glycogen branching enzyme deficiency, childhood neuromuscular form",,UMLS:C1856305,NCBI:MedGen,NCBI MedGen
