id:ID(KG),:LABEL,name,provided_by,source
GO:0048743,BiologicalProcess,positive regulation of skeletal muscle fiber development,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0055001,BiologicalProcess,muscle cell development,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0060349,BiologicalProcess,bone morphogenesis,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0070885,BiologicalProcess,negative regulation of calcineurin-NFAT signaling cascade,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0090257,BiologicalProcess,regulation of muscle system process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0090324,BiologicalProcess,negative regulation of oxidative phosphorylation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0120163,BiologicalProcess,negative regulation of cold-induced thermogenesis,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:1900159,BiologicalProcess,positive regulation of bone mineralization involved in bone maturation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:1901078,BiologicalProcess,negative regulation of relaxation of muscle,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:1903715,BiologicalProcess,regulation of aerobic respiration,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:1904025,BiologicalProcess,positive regulation of glucose catabolic process to lactate via pyruvate,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0003091,BiologicalProcess,renal water homeostasis,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0006171,BiologicalProcess,cAMP biosynthetic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0007165,BiologicalProcess,signal transduction,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0007189,BiologicalProcess,adenylate cyclase-activating G protein-coupled receptor signaling pathway,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0007204,BiologicalProcess,positive regulation of cytosolic calcium ion concentration,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0007611,BiologicalProcess,learning or memory,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0007613,BiologicalProcess,memory,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0007626,BiologicalProcess,locomotory behavior,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0009190,BiologicalProcess,cyclic nucleotide biosynthetic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0010255,BiologicalProcess,glucose mediated signaling pathway,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0031915,BiologicalProcess,positive regulation of synaptic plasticity,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0032024,BiologicalProcess,positive regulation of insulin secretion,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0034199,BiologicalProcess,activation of protein kinase A activity,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0035556,BiologicalProcess,intracellular signal transduction,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0035774,BiologicalProcess,positive regulation of insulin secretion involved in cellular response to glucose stimulus,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0038003,BiologicalProcess,G protein-coupled opioid receptor signaling pathway,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0042593,BiologicalProcess,glucose homeostasis,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0050796,BiologicalProcess,regulation of insulin secretion,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0050804,BiologicalProcess,modulation of chemical synaptic transmission,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0051259,BiologicalProcess,protein complex oligomerization,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0051260,BiologicalProcess,protein homooligomerization,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0051480,BiologicalProcess,regulation of cytosolic calcium ion concentration,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0071277,BiologicalProcess,cellular response to calcium ion,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0071315,BiologicalProcess,cellular response to morphine,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0071333,BiologicalProcess,cellular response to glucose stimulus,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0071377,BiologicalProcess,cellular response to glucagon stimulus,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0080135,BiologicalProcess,regulation of cellular response to stress,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0097700,BiologicalProcess,vascular endothelial cell response to laminar fluid shear stress,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0150076,BiologicalProcess,neuroinflammatory response,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:1900273,BiologicalProcess,positive regulation of long-term synaptic potentiation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:1900454,BiologicalProcess,positive regulation of long-term synaptic depression,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:1904322,BiologicalProcess,cellular response to forskolin,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0001819,BiologicalProcess,positive regulation of cytokine production,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0006260,BiologicalProcess,DNA replication,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0006940,BiologicalProcess,regulation of smooth muscle contraction,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0007173,BiologicalProcess,epidermal growth factor receptor signaling pathway,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0007186,BiologicalProcess,G protein-coupled receptor signaling pathway,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0007193,BiologicalProcess,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0007265,BiologicalProcess,Ras protein signal transduction,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0007266,BiologicalProcess,Rho protein signal transduction,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0007565,BiologicalProcess,female pregnancy,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0008284,BiologicalProcess,positive regulation of cell population proliferation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0010700,BiologicalProcess,negative regulation of norepinephrine secretion,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0019229,BiologicalProcess,regulation of vasoconstriction,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0030168,BiologicalProcess,platelet activation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0030335,BiologicalProcess,positive regulation of cell migration,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0032811,BiologicalProcess,negative regulation of epinephrine secretion,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0032870,BiologicalProcess,cellular response to hormone stimulus,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0042311,BiologicalProcess,vasodilation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0043268,BiologicalProcess,positive regulation of potassium ion transport,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0043278,BiologicalProcess,response to morphine,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0043410,BiologicalProcess,positive regulation of MAPK cascade,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0045742,BiologicalProcess,positive regulation of epidermal growth factor receptor signaling pathway,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0045955,BiologicalProcess,negative regulation of calcium ion-dependent exocytosis,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0046676,BiologicalProcess,negative regulation of insulin secretion,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0050892,BiologicalProcess,intestinal absorption,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0050955,BiologicalProcess,thermoception,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0051044,BiologicalProcess,positive regulation of membrane protein ectodomain proteolysis,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0051897,BiologicalProcess,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0051926,BiologicalProcess,negative regulation of calcium ion transport,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0061179,BiologicalProcess,negative regulation of insulin secretion involved in cellular response to glucose stimulus,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0070473,BiologicalProcess,negative regulation of uterine smooth muscle contraction,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0071875,BiologicalProcess,adrenergic receptor signaling pathway,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0071880,BiologicalProcess,adenylate cyclase-activating adrenergic receptor signaling pathway,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0071881,BiologicalProcess,adenylate cyclase-inhibiting adrenergic receptor signaling pathway,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0071882,BiologicalProcess,phospholipase C-activating adrenergic receptor signaling pathway,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0090303,BiologicalProcess,positive regulation of wound healing,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0097305,BiologicalProcess,response to alcohol,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0099171,BiologicalProcess,presynaptic modulation of chemical synaptic transmission,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0000122,BiologicalProcess,negative regulation of transcription by RNA polymerase II,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0003006,BiologicalProcess,developmental process involved in reproduction,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0007283,BiologicalProcess,spermatogenesis,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0007530,BiologicalProcess,sex determination,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0008104,BiologicalProcess,intracellular protein localization,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0008406,BiologicalProcess,gonad development,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0008584,BiologicalProcess,male gonad development,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0010894,BiologicalProcess,negative regulation of steroid biosynthetic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0021854,BiologicalProcess,hypothalamus development,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0021983,BiologicalProcess,pituitary gland development,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0030325,BiologicalProcess,adrenal gland development,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0033144,BiologicalProcess,negative regulation of intracellular steroid hormone receptor signaling pathway,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0045721,BiologicalProcess,negative regulation of gluconeogenesis,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0045892,BiologicalProcess,negative regulation of DNA-templated transcription,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0001649,BiologicalProcess,osteoblast differentiation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0001938,BiologicalProcess,positive regulation of endothelial cell proliferation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0002042,BiologicalProcess,cell migration involved in sprouting angiogenesis,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0002430,BiologicalProcess,complement receptor mediated signaling pathway,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0003376,BiologicalProcess,sphingosine-1-phosphate receptor signaling pathway,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0005977,BiologicalProcess,glycogen metabolic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0005979,BiologicalProcess,regulation of glycogen biosynthetic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0006006,BiologicalProcess,glucose metabolic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0006417,BiologicalProcess,regulation of translation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0006468,BiologicalProcess,protein phosphorylation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0006809,BiologicalProcess,nitric oxide biosynthetic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0006915,BiologicalProcess,apoptotic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0006924,BiologicalProcess,activation-induced cell death of T cells,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0006979,BiologicalProcess,response to oxidative stress,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0007399,BiologicalProcess,nervous system development,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0008283,BiologicalProcess,cell population proliferation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0008286,BiologicalProcess,insulin receptor signaling pathway,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0009408,BiologicalProcess,response to heat,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0009725,BiologicalProcess,response to hormone,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0010507,BiologicalProcess,negative regulation of autophagy,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0010595,BiologicalProcess,positive regulation of endothelial cell migration,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0010628,BiologicalProcess,positive regulation of gene expression,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0010629,BiologicalProcess,negative regulation of gene expression,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0010748,BiologicalProcess,negative regulation of long-chain fatty acid import across plasma membrane,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0010761,BiologicalProcess,fibroblast migration,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0010907,BiologicalProcess,positive regulation of glucose metabolic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0010975,BiologicalProcess,regulation of neuron projection development,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0016242,BiologicalProcess,negative regulation of macroautophagy,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0018105,BiologicalProcess,peptidyl-serine phosphorylation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0018107,BiologicalProcess,peptidyl-threonine phosphorylation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0019221,BiologicalProcess,cytokine-mediated signaling pathway,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0030154,BiologicalProcess,cell differentiation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0030307,BiologicalProcess,positive regulation of cell growth,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0030334,BiologicalProcess,regulation of cell migration,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0031295,BiologicalProcess,T cell costimulation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0031397,BiologicalProcess,negative regulation of protein ubiquitination,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0031929,BiologicalProcess,TOR signaling,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0032079,BiologicalProcess,positive regulation of endodeoxyribonuclease activity,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0032436,BiologicalProcess,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0032869,BiologicalProcess,cellular response to insulin stimulus,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0033138,BiologicalProcess,positive regulation of peptidyl-serine phosphorylation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0033554,BiologicalProcess,cellular response to stress,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0034405,BiologicalProcess,response to fluid shear stress,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0035655,BiologicalProcess,interleukin-18-mediated signaling pathway,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0042307,BiologicalProcess,positive regulation of protein import into nucleus,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0043066,BiologicalProcess,negative regulation of apoptotic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0043276,BiologicalProcess,anoikis,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0043488,BiologicalProcess,regulation of mRNA stability,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0043491,BiologicalProcess,phosphatidylinositol 3-kinase/protein kinase B signal transduction,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0043536,BiologicalProcess,positive regulation of blood vessel endothelial cell migration,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0045429,BiologicalProcess,positive regulation of nitric oxide biosynthetic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0045600,BiologicalProcess,positive regulation of fat cell differentiation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0045725,BiologicalProcess,positive regulation of glycogen biosynthetic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0045746,BiologicalProcess,negative regulation of Notch signaling pathway,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0045861,BiologicalProcess,negative regulation of proteolysis,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0045944,BiologicalProcess,positive regulation of transcription by RNA polymerase II,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0046209,BiologicalProcess,nitric oxide metabolic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0046326,BiologicalProcess,positive regulation of D-glucose import across plasma membrane,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0046889,BiologicalProcess,positive regulation of lipid biosynthetic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0048009,BiologicalProcess,insulin-like growth factor receptor signaling pathway,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0048266,BiologicalProcess,behavioral response to pain,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0048661,BiologicalProcess,positive regulation of smooth muscle cell proliferation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0051247,BiologicalProcess,positive regulation of protein metabolic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0060079,BiologicalProcess,excitatory postsynaptic potential,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0060416,BiologicalProcess,response to growth hormone,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0060644,BiologicalProcess,mammary gland epithelial cell differentiation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0070141,BiologicalProcess,response to UV-A,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0070585,BiologicalProcess,protein localization to mitochondrion,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0070848,BiologicalProcess,response to growth factor,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0071364,BiologicalProcess,cellular response to epidermal growth factor stimulus,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0072656,BiologicalProcess,maintenance of protein location in mitochondrion,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0072752,BiologicalProcess,cellular response to rapamycin,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0090201,BiologicalProcess,negative regulation of release of cytochrome c from mitochondria,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0099175,BiologicalProcess,regulation of postsynapse organization,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0110002,BiologicalProcess,regulation of tRNA methylation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0140052,BiologicalProcess,cellular response to oxidised low-density lipoprotein particle stimulus,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0150033,BiologicalProcess,negative regulation of protein localization to lysosome,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0160049,BiologicalProcess,negative regulation of cGAS/STING signaling pathway,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0160213,BiologicalProcess,beta-arrestin-dependent dopamine receptor signaling pathway,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:1900087,BiologicalProcess,positive regulation of G1/S transition of mitotic cell cycle,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:1900182,BiologicalProcess,positive regulation of protein localization to nucleus,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:1901796,BiologicalProcess,regulation of signal transduction by p53 class mediator,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:1902018,BiologicalProcess,negative regulation of cilium assembly,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:1902176,BiologicalProcess,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:1903038,BiologicalProcess,negative regulation of leukocyte cell-cell adhesion,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:1903078,BiologicalProcess,positive regulation of protein localization to plasma membrane,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:1903318,BiologicalProcess,negative regulation of protein maturation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:1903384,BiologicalProcess,negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:1903898,BiologicalProcess,negative regulation of PERK-mediated unfolded protein response,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:1904263,BiologicalProcess,positive regulation of TORC1 signaling,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:1904515,BiologicalProcess,positive regulation of TORC2 signaling,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:1905552,BiologicalProcess,positive regulation of protein localization to endoplasmic reticulum,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:1905786,BiologicalProcess,positive regulation of anaphase-promoting complex-dependent catabolic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:1990090,BiologicalProcess,cellular response to nerve growth factor stimulus,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:1990418,BiologicalProcess,response to insulin-like growth factor stimulus,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:2000010,BiologicalProcess,positive regulation of protein localization to cell surface,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:2000074,BiologicalProcess,regulation of type B pancreatic cell development,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:2000402,BiologicalProcess,negative regulation of lymphocyte migration,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:2001240,BiologicalProcess,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:2001243,BiologicalProcess,negative regulation of intrinsic apoptotic signaling pathway,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0032000,BiologicalProcess,positive regulation of fatty acid beta-oxidation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0036211,BiologicalProcess,protein modification process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0045444,BiologicalProcess,fat cell differentiation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0050821,BiologicalProcess,protein stabilization,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0051726,BiologicalProcess,regulation of cell cycle,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0090314,BiologicalProcess,positive regulation of protein targeting to membrane,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
